ASSET,METRIC,REAL_VAL,REAL_Z,PRICE_Z,GAP,STATUS
FLUX,total_nodes,8032.352272727273,0.2,0.0,0.0,📡 ORPHAN_PHYSICAL
HIVEMAPPER,onchain_supply,6512332029.960712,-0.98,0.0,0.0,📡 ORPHAN_PHYSICAL
MYSTERIUM,active_nodes,12653.218181818182,-2.18,0.0,0.0,📡 ORPHAN_PHYSICAL
DIMO,connected_vehicles,155683.0,1.29,0.0,0.0,📡 ORPHAN_PHYSICAL
TRADFIFEMS,N/A,0.0,0.0,0.38,0.0,💸 PURE_SPECULATION
TRADFIAGAE,N/A,0.0,0.0,0.14,0.0,💸 PURE_SPECULATION
TRADFIRKLB,N/A,0.0,0.0,2.35,0.0,💸 PURE_SPECULATION
TRADFIIMCR,N/A,0.0,0.0,-3.05,0.0,💸 PURE_SPECULATION
TRADFITCMD,N/A,0.0,0.0,2.9,0.0,💸 PURE_SPECULATION
TRADFIFPC,N/A,0.0,0.0,-3.44,0.0,💸 PURE_SPECULATION
TRADFIOSRH,N/A,0.0,0.0,-2.97,0.0,💸 PURE_SPECULATION
TRADFIULY,N/A,0.0,0.0,1.11,0.0,💸 PURE_SPECULATION
TRADFISMST,N/A,0.0,0.0,-1.92,0.0,💸 PURE_SPECULATION
TRADFIANGI,N/A,0.0,0.0,-0.77,0.0,💸 PURE_SPECULATION
TRADFIBEX,N/A,0.0,0.0,-1.79,0.0,💸 PURE_SPECULATION
TRADFIDVAX,N/A,0.0,0.0,-0.66,0.0,💸 PURE_SPECULATION
TRADFINBTX,N/A,0.0,0.0,1.5,0.0,💸 PURE_SPECULATION
TRADFIUMBF,N/A,0.0,0.0,-2.36,0.0,💸 PURE_SPECULATION
TRADFICVS,N/A,0.0,0.0,2.15,0.0,💸 PURE_SPECULATION
TRADFICVSB,N/A,0.0,0.0,0.2,0.0,💸 PURE_SPECULATION
TRADFITFCPR,N/A,0.0,0.0,1.28,0.0,💸 PURE_SPECULATION
TRADFIRELY,N/A,0.0,0.0,2.79,0.0,💸 PURE_SPECULATION
TRADFIFMTM,N/A,0.0,0.0,-1.45,0.0,💸 PURE_SPECULATION
TRADFIRANI,N/A,0.0,0.0,-1.63,0.0,💸 PURE_SPECULATION
TRADFIPTLC,N/A,0.0,0.0,-1.69,0.0,💸 PURE_SPECULATION
TRADFIDYNF,N/A,0.0,0.0,-2.38,0.0,💸 PURE_SPECULATION
TRADFINPKI,N/A,0.0,0.0,2.08,0.0,💸 PURE_SPECULATION
TRADFILZM.WS,N/A,0.0,0.0,-1.41,0.0,💸 PURE_SPECULATION
TRADFIILDR,N/A,0.0,0.0,-2.08,0.0,💸 PURE_SPECULATION
TRADFIRNGR,N/A,0.0,0.0,-0.68,0.0,💸 PURE_SPECULATION
TRADFIAZO,N/A,0.0,0.0,-2.67,0.0,💸 PURE_SPECULATION
TRADFIQRHC,N/A,0.0,0.0,3.09,0.0,💸 PURE_SPECULATION
TRADFICVRX,N/A,0.0,0.0,-3.39,0.0,💸 PURE_SPECULATION
TRADFIFFEB,N/A,0.0,0.0,-1.12,0.0,💸 PURE_SPECULATION
TRADFIDGICA,N/A,0.0,0.0,2.57,0.0,💸 PURE_SPECULATION
TRADFIOMSE,N/A,0.0,0.0,-2.9,0.0,💸 PURE_SPECULATION
TRADFISBIO,N/A,0.0,0.0,-0.41,0.0,💸 PURE_SPECULATION
TRADFIO,N/A,0.0,0.0,-1.8,0.0,💸 PURE_SPECULATION
TRADFIBRIE,N/A,0.0,0.0,-0.4,0.0,💸 PURE_SPECULATION
TRADFICNR,N/A,0.0,0.0,0.55,0.0,💸 PURE_SPECULATION
TRADFIGMOV,N/A,0.0,0.0,-1.88,0.0,💸 PURE_SPECULATION
TRADFIIMCV,N/A,0.0,0.0,-1.41,0.0,💸 PURE_SPECULATION
TRADFIGAP,N/A,0.0,0.0,-0.3,0.0,💸 PURE_SPECULATION
TRADFIRRGB,N/A,0.0,0.0,0.15,0.0,💸 PURE_SPECULATION
TRADFIDPG,N/A,0.0,0.0,-1.07,0.0,💸 PURE_SPECULATION
TRADFIFINV,N/A,0.0,0.0,-1.24,0.0,💸 PURE_SPECULATION
TRADFINCNA,N/A,0.0,0.0,2.24,0.0,💸 PURE_SPECULATION
TRADFIUMMA,N/A,0.0,0.0,0.47,0.0,💸 PURE_SPECULATION
TRADFIUPBD,N/A,0.0,0.0,-1.35,0.0,💸 PURE_SPECULATION
TRADFIFNGD,N/A,0.0,0.0,-1.47,0.0,💸 PURE_SPECULATION
TRADFIWEYS,N/A,0.0,0.0,2.69,0.0,💸 PURE_SPECULATION
TRADFIBA,N/A,0.0,0.0,-1.29,0.0,💸 PURE_SPECULATION
TRADFICRAK,N/A,0.0,0.0,0.38,0.0,💸 PURE_SPECULATION
TRADFITRN,N/A,0.0,0.0,1.76,0.0,💸 PURE_SPECULATION
TRADFIHNST,N/A,0.0,0.0,3.12,0.0,💸 PURE_SPECULATION
TRADFICGIC,N/A,0.0,0.0,-2.57,0.0,💸 PURE_SPECULATION
TRADFIATRC,N/A,0.0,0.0,0.06,0.0,💸 PURE_SPECULATION
TRADFIBTO,N/A,0.0,0.0,2.74,0.0,💸 PURE_SPECULATION
TRADFIRZC,N/A,0.0,0.0,1.82,0.0,💸 PURE_SPECULATION
TRADFIBAM,N/A,0.0,0.0,2.57,0.0,💸 PURE_SPECULATION
TRADFISLS,N/A,0.0,0.0,2.16,0.0,💸 PURE_SPECULATION
TRADFIYSG,N/A,0.0,0.0,0.59,0.0,💸 PURE_SPECULATION
TRADFICLIR,N/A,0.0,0.0,-1.05,0.0,💸 PURE_SPECULATION
TRADFIWDTE,N/A,0.0,0.0,-1.45,0.0,💸 PURE_SPECULATION
TRADFIGSEP,N/A,0.0,0.0,-2.62,0.0,💸 PURE_SPECULATION
TRADFIDCGO,N/A,0.0,0.0,-1.97,0.0,💸 PURE_SPECULATION
TRADFISELF,N/A,0.0,0.0,1.83,0.0,💸 PURE_SPECULATION
APOLLODIVERSIFIEDCREDITSECURITIZEFUND,N/A,0.0,0.0,1.9,0.0,💸 PURE_SPECULATION
TRADFIBETA,N/A,0.0,0.0,1.78,0.0,💸 PURE_SPECULATION
