TICKER,PRICE,K_SCORE
TRADFI_XYZG,14.1993,4.8
TRADFI_LPAA,10.57,3.76
COINEX-TOKEN,0.04592571,3.42
OUSG,113.58,2.66
TRADFI_PMTR,10.3,2.61
TRADFI_YMT,1.4,2.53
TRADFI_EFSI,38.5,2.13
TRADFI_NODK,13.57,2.13
TRADFI_SHOC,71.2986,2.08
SOCIAL_SENTIMENT,2.0,2.08
USX,0.999937,2.06
TRADFI_PXE,30.31,2.04
TRADFI_BVFL,18.47,2.04
TRADFI_LINT,33.68,2.04
TRADFI_RBCAA,69.92,2.04
TRADFI_JMSB,20.03,2.04
TRADFI_ECBK,16.84,2.04
MONERO,390.35,2.04
TRADFI_GBR,0.8354,2.04
TRADFI_HBT,24.83,2.04
TRADFI_OVLY,28.2,2.04
TRADFI_AIRG,4.03,2.04
TRADFI_ELWS,5.8,2.04
TRADFI_FSBW,40.88,2.04
TRADFI_SNAL,0.9805,2.04
TRADFI_NFLP,28.72,2.04
TRADFI_FUNC,38.98,2.04
TRADFI_TNON,1.15,2.03
TRADFI_DXF,2.59,2.03
TRADFI_ULBI,5.45,2.03
TRADFI_IPWR,4.19,2.03
TRADFI_ACFN,16.75,2.03
TRADFI_NSAPA,21.56,2.02
TRADFI_FXNC,24.58,2.02
TRADFI_GAUG,39.1035,2.02
TRADFI_FIEE,2.57,2.02
TRADFI_RPAR,21.46,2.02
TRADFI_EUM,20.63,2.02
TRADFI_PGRO,45.25,2.02
TRADFI_ALUB.U,10.17,2.01
TRADFI_PDEX,41.71,2.01
TRADFI_QSPT,31.78,2.01
TRADFI_MCI,20.76,2.01
TRADFI_IYLD,21.41,2.01
TRADFI_GHC,1081.58,2.01
TRADFI_BNT,46.68,2.01
TRADFI_AHLPD,20.14,2.01
TRADFI_TQQY,16.6131,2.01
TRADFI_JXNPA,26.01,2.01
TRADFI_GAINL,25.23,2.01
TRADFI_PCB,22.13,2.01
TRADFI_HBCP,57.43,2.01
TRADFI_FJAN,51.28,2.0
TRADFI_WAFU,1.66,2.0
TRADFI_MAMB,24.06,2.0
TRADFI_QDVO,29.52,1.99
TRADFI_TGRW,46.5025,1.99
TRADFI_GPMT,2.81,1.99
TRADFI_EEV,19.6752,1.99
TRADFI_LVRO,0.8299,1.99
TRADFI_ACV,26.34,1.99
TRADFI_DMII,9.88,1.99
TRADFI_UZE,18.06,1.99
TRADFI_MLEC,0.449,1.98
TRADFI_SJB,15.49,1.98
TRADFI_LGVN,0.65,1.98
TRADFI_MSFX,30.7772,1.98
TRADFI_RBLU,45.6,1.97
TRADFI_EDZ,37.52,1.97
